protocol,network,contract_address,contract_name,type,signature
Ethena USDe,nan,0x57e114b691db790c35207b2e685d4a43181e6061,,function,decimals()
Ethena USDe,nan,0x57e114b691db790c35207b2e685d4a43181e6061,,function,"decreaseAllowance(address spender, uint256 subtractedValue)"
Ethena USDe,nan,0x57e114b691db790c35207b2e685d4a43181e6061,,function,eip712Domain()
Ethena USDe,nan,0x57e114b691db790c35207b2e685d4a43181e6061,,function,"increaseAllowance(address spender, uint256 addedValue)"
Ethena USDe,nan,0x57e114b691db790c35207b2e685d4a43181e6061,,function,lastMintTimestamp()
Ethena USDe,nan,0x57e114b691db790c35207b2e685d4a43181e6061,,function,"mint(address to, uint256 amount)"
Ethena USDe,nan,0x57e114b691db790c35207b2e685d4a43181e6061,,function,name()
Ethena USDe,nan,0x57e114b691db790c35207b2e685d4a43181e6061,,function,nonces(address owner)
Ethena USDe,nan,0x57e114b691db790c35207b2e685d4a43181e6061,,function,owner()
Ethena USDe,nan,0x57e114b691db790c35207b2e685d4a43181e6061,,function,pendingOwner()
Ethena USDe,nan,0x57e114b691db790c35207b2e685d4a43181e6061,,function,"permit(address owner, address spender, uint256 value, uint256 deadline, uint8 v, bytes32 r, bytes32 s)"
Ethena USDe,nan,0x57e114b691db790c35207b2e685d4a43181e6061,,function,renounceOwnership()
Ethena USDe,nan,0x57e114b691db790c35207b2e685d4a43181e6061,,function,symbol()
Ethena USDe,nan,0x57e114b691db790c35207b2e685d4a43181e6061,,function,totalSupply()
Ethena USDe,nan,0x57e114b691db790c35207b2e685d4a43181e6061,,function,"transfer(address to, uint256 amount)"
Ethena USDe,nan,0x57e114b691db790c35207b2e685d4a43181e6061,,function,"transferFrom(address from, address to, uint256 amount)"
Ethena USDe,nan,0x57e114b691db790c35207b2e685d4a43181e6061,,function,transferOwnership(address newOwner)
Pendle,nan,0x808507121b80c02388fad14726482e061b8da827,,event,"Approval(address owner, address spender, uint256 value)"
Pendle,nan,0x808507121b80c02388fad14726482e061b8da827,,event,"ConfigsChanged(uint256 emissionRateMultiplierNumerator, uint256 terminalInflationRateNumerator, address liquidityIncentivesRecipient, bool isBurningAllowed)"
Pendle,nan,0x808507121b80c02388fad14726482e061b8da827,,event,"DelegateChanged(address delegator, address fromDelegate, address toDelegate)"
Pendle,nan,0x808507121b80c02388fad14726482e061b8da827,,event,"DelegateVotesChanged(address delegate, uint256 previousBalance, uint256 newBalance)"
Pendle,nan,0x808507121b80c02388fad14726482e061b8da827,,event,"EtherWithdraw(uint256 amount, address sendTo)"
Pendle,nan,0x808507121b80c02388fad14726482e061b8da827,,event,"GovernanceClaimed(address newGovernance, address previousGovernance)"
Pendle,nan,0x808507121b80c02388fad14726482e061b8da827,,event,"PendingConfigChanges(uint256 pendingEmissionRateMultiplierNumerator, uint256 pendingTerminalInflationRateNumerator, address pendingLiquidityIncentivesRecipient, bool pendingIsBurningAllowed)"
Pendle,nan,0x808507121b80c02388fad14726482e061b8da827,,event,"TokenWithdraw(address token, uint256 amount, address sendTo)"
Pendle,nan,0x808507121b80c02388fad14726482e061b8da827,,event,"Transfer(address from, address to, uint256 value)"
Pendle,nan,0x808507121b80c02388fad14726482e061b8da827,,event,TransferGovernancePending(address pendingGovernance)
Pendle,nan,0x808507121b80c02388fad14726482e061b8da827,,function,DELEGATION_TYPEHASH()
Pendle,nan,0x808507121b80c02388fad14726482e061b8da827,,function,DOMAIN_TYPEHASH()
Pendle,nan,0x808507121b80c02388fad14726482e061b8da827,,function,"allowance(address account, address spender)"
Pendle,nan,0x808507121b80c02388fad14726482e061b8da827,,function,applyConfigChanges()
Pendle,nan,0x808507121b80c02388fad14726482e061b8da827,,function,"approve(address spender, uint256 amount)"
Pendle,nan,0x808507121b80c02388fad14726482e061b8da827,,function,balanceOf(address account)
Pendle,nan,0x808507121b80c02388fad14726482e061b8da827,,function,burn(uint256 amount)
Pendle,nan,0x808507121b80c02388fad14726482e061b8da827,,function,"checkpoints(address , uint32 )"
Pendle,nan,0x808507121b80c02388fad14726482e061b8da827,,function,claimGovernance()
Pendle,nan,0x808507121b80c02388fad14726482e061b8da827,,function,claimLiquidityEmissions()
Pendle,nan,0x808507121b80c02388fad14726482e061b8da827,,function,configChangesInitiated()
Pendle,nan,0x808507121b80c02388fad14726482e061b8da827,,function,decimals()
Pendle,nan,0x808507121b80c02388fad14726482e061b8da827,,function,"decreaseAllowance(address spender, uint256 subtractedValue)"
Pendle,nan,0x808507121b80c02388fad14726482e061b8da827,,function,delegate(address delegatee)
Pendle,nan,0x808507121b80c02388fad14726482e061b8da827,,function,"delegateBySig(address delegatee, uint256 nonce, uint256 expiry, uint8 v, bytes32 r, bytes32 s)"
Pendle,nan,0x808507121b80c02388fad14726482e061b8da827,,function,delegates(address )
Pendle,nan,0x808507121b80c02388fad14726482e061b8da827,,function,emissionRateMultiplierNumerator()
Pendle,nan,0x808507121b80c02388fad14726482e061b8da827,,function,getCurrentVotes(address account)
Pendle,nan,0x808507121b80c02388fad14726482e061b8da827,,function,"getPriorVotes(address account, uint256 blockNumber)"
Pendle,nan,0x808507121b80c02388fad14726482e061b8da827,,function,governance()
Pendle,nan,0x808507121b80c02388fad14726482e061b8da827,,function,"increaseAllowance(address spender, uint256 addedValue)"
Pendle,nan,0x808507121b80c02388fad14726482e061b8da827,,function,"initiateConfigChanges(uint256 _emissionRateMultiplierNumerator, uint256 _terminalInflationRateNumerator, address _liquidityIncentivesRecipient, bool _isBurningAllowed)"
Pendle,nan,0x808507121b80c02388fad14726482e061b8da827,,function,isBurningAllowed()
Pendle,nan,0x808507121b80c02388fad14726482e061b8da827,,function,isPendleToken()
Pendle,nan,0x808507121b80c02388fad14726482e061b8da827,,function,lastWeekEmissionSent()
Pendle,nan,0x808507121b80c02388fad14726482e061b8da827,,function,lastWeeklyEmission()
Pendle,nan,0x808507121b80c02388fad14726482e061b8da827,,function,liquidityIncentivesRecipient()
Pendle,nan,0x808507121b80c02388fad14726482e061b8da827,,function,name()
Pendle,nan,0x808507121b80c02388fad14726482e061b8da827,,function,nonces(address )
Pendle,nan,0x808507121b80c02388fad14726482e061b8da827,,function,numCheckpoints(address )
Pendle,nan,0x808507121b80c02388fad14726482e061b8da827,,function,pendingEmissionRateMultiplierNumerator()
Pendle,nan,0x808507121b80c02388fad14726482e061b8da827,,function,pendingGovernance()
Pendle,nan,0x808507121b80c02388fad14726482e061b8da827,,function,pendingIsBurningAllowed()
Pendle,nan,0x808507121b80c02388fad14726482e061b8da827,,function,pendingLiquidityIncentivesRecipient()
Pendle,nan,0x808507121b80c02388fad14726482e061b8da827,,function,pendingTerminalInflationRateNumerator()
Pendle,nan,0x808507121b80c02388fad14726482e061b8da827,,function,startTime()
Pendle,nan,0x808507121b80c02388fad14726482e061b8da827,,function,symbol()
Pendle,nan,0x808507121b80c02388fad14726482e061b8da827,,function,terminalInflationRateNumerator()
Pendle,nan,0x808507121b80c02388fad14726482e061b8da827,,function,totalSupply()
Pendle,nan,0x808507121b80c02388fad14726482e061b8da827,,function,"transfer(address dst, uint256 amount)"
Pendle,nan,0x808507121b80c02388fad14726482e061b8da827,,function,"transferFrom(address src, address dst, uint256 amount)"
Pendle,nan,0x808507121b80c02388fad14726482e061b8da827,,function,transferGovernance(address _governance)
Pendle,nan,0x808507121b80c02388fad14726482e061b8da827,,function,"withdrawEther(uint256 amount, address sendTo)"
Pendle,nan,0x808507121b80c02388fad14726482e061b8da827,,function,"withdrawToken(address token, uint256 amount, address sendTo)"
ether.fi Stake,nan,0xfe0c30065b384f05761f15d0cc899d4f9f9cc0eb,,event,"Approval(address owner, address spender, uint256 value)"
ether.fi Stake,nan,0xfe0c30065b384f05761f15d0cc899d4f9f9cc0eb,,event,"DelegateChanged(address delegator, address fromDelegate, address toDelegate)"
ether.fi Stake,nan,0xfe0c30065b384f05761f15d0cc899d4f9f9cc0eb,,event,"DelegateVotesChanged(address delegate, uint256 previousVotes, uint256 newVotes)"
ether.fi Stake,nan,0xfe0c30065b384f05761f15d0cc899d4f9f9cc0eb,,event,EIP712DomainChanged()
ether.fi Stake,nan,0xfe0c30065b384f05761f15d0cc899d4f9f9cc0eb,,event,"Transfer(address from, address to, uint256 value)"
ether.fi Stake,nan,0xfe0c30065b384f05761f15d0cc899d4f9f9cc0eb,,function,CLOCK_MODE()
ether.fi Stake,nan,0xfe0c30065b384f05761f15d0cc899d4f9f9cc0eb,,function,DOMAIN_SEPARATOR()
ether.fi Stake,nan,0xfe0c30065b384f05761f15d0cc899d4f9f9cc0eb,,function,"allowance(address owner, address spender)"
ether.fi Stake,nan,0xfe0c30065b384f05761f15d0cc899d4f9f9cc0eb,,function,"approve(address spender, uint256 value)"
ether.fi Stake,nan,0xfe0c30065b384f05761f15d0cc899d4f9f9cc0eb,,function,balanceOf(address account)
ether.fi Stake,nan,0xfe0c30065b384f05761f15d0cc899d4f9f9cc0eb,,function,burn(uint256 value)
ether.fi Stake,nan,0xfe0c30065b384f05761f15d0cc899d4f9f9cc0eb,,function,"burnFrom(address account, uint256 value)"
ether.fi Stake,nan,0xfe0c30065b384f05761f15d0cc899d4f9f9cc0eb,,function,"checkpoints(address account, uint32 pos)"
ether.fi Stake,nan,0xfe0c30065b384f05761f15d0cc899d4f9f9cc0eb,,function,clock()
ether.fi Stake,nan,0xfe0c30065b384f05761f15d0cc899d4f9f9cc0eb,,function,decimals()
ether.fi Stake,nan,0xfe0c30065b384f05761f15d0cc899d4f9f9cc0eb,,function,delegate(address delegatee)
ether.fi Stake,nan,0xfe0c30065b384f05761f15d0cc899d4f9f9cc0eb,,function,"delegateBySig(address delegatee, uint256 nonce, uint256 expiry, uint8 v, bytes32 r, bytes32 s)"
ether.fi Stake,nan,0xfe0c30065b384f05761f15d0cc899d4f9f9cc0eb,,function,delegates(address account)
ether.fi Stake,nan,0xfe0c30065b384f05761f15d0cc899d4f9f9cc0eb,,function,eip712Domain()
ether.fi Stake,nan,0xfe0c30065b384f05761f15d0cc899d4f9f9cc0eb,,function,getPastTotalSupply(uint256 timepoint)
ether.fi Stake,nan,0xfe0c30065b384f05761f15d0cc899d4f9f9cc0eb,,function,"getPastVotes(address account, uint256 timepoint)"
ether.fi Stake,nan,0xfe0c30065b384f05761f15d0cc899d4f9f9cc0eb,,function,getVotes(address account)
ether.fi Stake,nan,0xfe0c30065b384f05761f15d0cc899d4f9f9cc0eb,,function,name()
ether.fi Stake,nan,0xfe0c30065b384f05761f15d0cc899d4f9f9cc0eb,,function,nonces(address owner)
ether.fi Stake,nan,0xfe0c30065b384f05761f15d0cc899d4f9f9cc0eb,,function,numCheckpoints(address account)
ether.fi Stake,nan,0xfe0c30065b384f05761f15d0cc899d4f9f9cc0eb,,function,"permit(address owner, address spender, uint256 value, uint256 deadline, uint8 v, bytes32 r, bytes32 s)"
ether.fi Stake,nan,0xfe0c30065b384f05761f15d0cc899d4f9f9cc0eb,,function,symbol()
ether.fi Stake,nan,0xfe0c30065b384f05761f15d0cc899d4f9f9cc0eb,,function,totalSupply()
ether.fi Stake,nan,0xfe0c30065b384f05761f15d0cc899d4f9f9cc0eb,,function,"transfer(address to, uint256 value)"
ether.fi Stake,nan,0xfe0c30065b384f05761f15d0cc899d4f9f9cc0eb,,function,"transferFrom(address from, address to, uint256 value)"
Gate,nan,0xe66747a101bff2dba3697199dcce5b743b454759,,event,Active(address msgSender)
Gate,nan,0xe66747a101bff2dba3697199dcce5b743b454759,,event,Reset(address msgSender)
Gate,nan,0xe66747a101bff2dba3697199dcce5b743b454759,,event,"Burn(address from, uint256 value)"
Gate,nan,0xe66747a101bff2dba3697199dcce5b743b454759,,event,"Freeze(address from, uint256 value)"
Gate,nan,0xe66747a101bff2dba3697199dcce5b743b454759,,event,"Unfreeze(address from, uint256 value)"
Gate,nan,0xe66747a101bff2dba3697199dcce5b743b454759,,event,"Transfer(address from, address to, uint256 value)"
Gate,nan,0xe66747a101bff2dba3697199dcce5b743b454759,,event,"Approval(address tokenOwner, address spender, uint256 value)"
Gate,nan,0xe66747a101bff2dba3697199dcce5b743b454759,,function,name()
Gate,nan,0xe66747a101bff2dba3697199dcce5b743b454759,,function,"approve(address spender, uint256 value)"
Gate,nan,0xe66747a101bff2dba3697199dcce5b743b454759,,function,totalSupply()
Gate,nan,0xe66747a101bff2dba3697199dcce5b743b454759,,function,"transferFrom(address from, address to, uint256 value)"
Gate,nan,0xe66747a101bff2dba3697199dcce5b743b454759,,function,balances(address )
Gate,nan,0xe66747a101bff2dba3697199dcce5b743b454759,,function,isOwner(address add)
Gate,nan,0xe66747a101bff2dba3697199dcce5b743b454759,,function,decimals()
Gate,nan,0xe66747a101bff2dba3697199dcce5b743b454759,,function,burn(uint256 value)
Gate,nan,0xe66747a101bff2dba3697199dcce5b743b454759,,function,"allowed(address , address )"
Gate,nan,0xe66747a101bff2dba3697199dcce5b743b454759,,function,unfreeze(uint256 value)
Gate,nan,0xe66747a101bff2dba3697199dcce5b743b454759,,function,balanceOf(address tokenOwner)
Gate,nan,0xe66747a101bff2dba3697199dcce5b743b454759,,function,owner()
Gate,nan,0xe66747a101bff2dba3697199dcce5b743b454759,,function,activeStatus()
Gate,nan,0xe66747a101bff2dba3697199dcce5b743b454759,,function,symbol()
Gate,nan,0xe66747a101bff2dba3697199dcce5b743b454759,,function,activeMode()
Gate,nan,0xe66747a101bff2dba3697199dcce5b743b454759,,function,"transfer(address to, uint256 value)"
Gate,nan,0xe66747a101bff2dba3697199dcce5b743b454759,,function,freezeOf(address )
Gate,nan,0xe66747a101bff2dba3697199dcce5b743b454759,,function,freeze(uint256 value)
Gate,nan,0xe66747a101bff2dba3697199dcce5b743b454759,,function,"allowance(address tokenOwner, address spender)"
Gate,nan,0xe66747a101bff2dba3697199dcce5b743b454759,,function,resetMode()
Morpho Blue,nan,0x58D97B57BB95320F9a05dC918Aef65434969c2B2,,event,Upgraded(address implementation)
Sky Lending,nan,0x56072c95faa701256059aa122697b133aded9279,,event,"Approval(address owner, address spender, uint256 value)"
Sky Lending,nan,0x56072c95faa701256059aa122697b133aded9279,,event,Deny(address usr)
Sky Lending,nan,0x56072c95faa701256059aa122697b133aded9279,,event,Rely(address usr)
